FOREIGN TRAVEL FOR LEEDS CITY COUNCIL (April 18 to March 19)     ALL COSTS IN GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME OF PERSON TRAVELING,JOB TITLE,CITY,COUNTRY,DEPARTURE DATE,RETURN DATE,TOTAL NUMBER OF DAYS AND NIGHTS,REASON FOR VISIT ,CLASS OF FLIGHT i.e business,TRAVEL COSTS                                                                                                                      ,,COST OF ACCOMMODATION ,,EXPENSES - LOCAL TRANSPORT ,,EXPENSES - FOOD & DRINK,,TOTAL COST OF VISIT,TOTAL COSTS TO LCC,TOTAL COSTS TO OTHER ORGANISATIONS (IF KNOWN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,To LCC,To other,To LCC,To other,To LCC,To other,To LCC,To other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cllr Adam Ogilvie,Councillor,Berlin,Germany,02.04.18,04.04.18,2 nights/3 days,To host a reception promoting VisitLeeds & Leeds2023,economy,205.28,0,159.77,0,0,0,22.64,0,387.69,387.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluny Macpherson,Chief Officer Culture and Sport,Berlin,Germany,02.04.18,04.04.18,2 nights/3 days,To host a reception promoting VisitLeeds & Leeds2023,economy,179.25,0,156.7,0,0,0,34.36,0,370.31,370.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Young,Head of Visitor Economy and Inward Investment,Berlin,Germany,02.04.18,04.04.18,2 nights/3 days,To host a reception promoting VisitLeeds & Leeds2023,economy,225.04,0,156.7,0,60.19,0,25.68,0,467.61,467.61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Project Officer,Berlin,Germany,02.04.18,04.04.18,2 nights/3 days,To host a reception promoting VisitLeeds & Leeds2023,economy,182.16,0,0,0,0,0,0,0,182.16,182.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baksho Uppal,Area Leader,Brussels,Belgium,16.04.18,18.04.18,2 nights/3 days,To attend the Urban Academy on Integration,economy,0,497.25,0,318,172,0,39.37,0,1026.62,211.37,815.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Marketing and Communications Manager,Amsterdam,The Netherlands,19.04.18,20.04.18,1 night/2 days,To attend appointments with P&O ferries and Dutch media,economy,201.51,0,119.39,0,17.57,0,34.3,0,372.77,372.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluny Macpherson,Chief Officer Culture and Sport,Dresden,Germany,25.04.18,28.04.18,3 nights/4 days,To attend the Eurocities Culture Forum,economy,0,264.5,0,260.28,0,105.3,0,28.29,658.37,0,658.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Project Officer,Dortmund,Germany,30.04.18,07.05.18,7 nights/8 days,To accompany young people at DortBUNT for an exchange,economy,111.6,0,0,490,6,24.78,14.7,0,647.08,132.3,514.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Policy and Performance Manager,Cluj,Romania,03.05.18,06.05.18,3 nights/4 days,To attend Culture Next Network meeting,economy,0,318.13,0,160.53,0,11.47,0,31.78,521.91,0,521.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cllr Jane Dowson,Lord Mayor,Dortmund,Germany,04.05.18,07.05.18,3 nights/4 days,To participate in a civic visit during the DortBUNT festival,economy,236.02,0,0,219,0,0,17.38,0,472.4,253.4,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
